Tyska,Svenska
Ich,Jag
ist,är
ich,Jag
nicht,inte
Sie,Hon
du,du
das,de
die,de
es,Det
und,och
der,de
zu,till
sie,hon
Das,De
ein,en
in,i
wir,vi
Du,Du
mir,till mig
mit,med
Was,Vad
den,de
mich,mig
was,Vad
auf,på
dass,den där
er,han
eine,ett
Es,Det
hat,har
Wir,Vi
Und,Och
so,så
sind,are
von,från
dich,du
war,var
haben,ha
für,för
Ja,Ja
hier,här
an,på
habe,ha
Er,han
bin,Jag är
wie,Hur
noch,fortfarande
dir,till dig
uns,oss
sich,sig
Die,De
nur,endast
einen,en
Nein,Nej
dem,till
ihn,honom
auch,också
hast,ha
sein,vara
ihr,henne
da,där
aus,ut ur
kann,burk
aber,men
Aber,Men
schon,redan
wenn,om
wird,bli
um,runt
Wie,Hur
als,som
bist,är du
im,i
mal,bara
doch,men
gut,Bra
meine,tror
jetzt,nu
weiß,vit
Wenn,Om
werden,bli
Der,De
nach,efter
ja,Ja
Oh,Åh
oder,eller
dann,sedan
will,vilja
mein,min
mehr,Mer
keine,Nej
etwas,något
alles,allt
muss,måste
immer,alltid
nichts,ingenting
man,ett
wieder,igen
bei,på
hab,ha
machen,göra
vor,innan
Mann,Man
ihm,honom
einem,en
tun,do
zum,för
können,burk
sagen,säga
werde,bli
denn,sedan
Ist,Är
Ein,En
Warum,Varför
einer,ett
gehen,gå
sehen,ser
sehr,mycket
geht,går
alle,Allt
über,ovan
müssen,måste
diese,detta
einfach,helt enkelt
euch,du
des,av
nie,aldrig
Also,Så
Wo,Var
los,Kom igen
Zeit,Tid
Ihnen,Dem
gibt,ger
wirklich,verkligen
Hey,Hallå
Danke,Tack
deine,din
würde,skulle
soll,skall
Da,där
hatte,ha
Hier,Här
wissen,kunskap
bitte,snälla du
viel,mycket
Dann,Sedan
So,Så
gesagt,nämnda
Ihr,Henne
am,vid
kein,Nej
Komm,Komma
Wer,WHO
zurück,lämna tillbaka
wurde,blev
In,I
wollte,efterlyst
Frau,Kvinna
Leben,Liv
wäre,var
wo,var
damit,med det
Nicht,Inte
Gott,Gud
Leute,människor
kannst,burk
heute,i dag
meinen,tror
dieser,detta
dein,din
kommt,kommer
kommen,komma
willst,vilja
Na,N / a
wollen,vilja
sicher,säkra
ganz,ganska
Jetzt,Nu
Mein,Min
Mr,HERR
also,så
zur,till
Hast,Ha
Gut,Bra
hätte,ha
weil,därför att
tut,göra
Hallo,Hallå
Okay,OK
macht,makt
waren,var
bis,fram tills
Vielleicht,Kanske
könnte,skulle kunna
Eine,Ett
Bitte,Snälla du
weg,bort
seine,hans
lassen,tillåta
Vater,Far
gesehen,sett
Nun,Väl
gerade,hetero
Alles,Allt
glaube,tro
Tag,Dag
ab,bort
Geld,Pengar
gemacht,gjord
nein,Nej
Sir,herr
sollte,skall
sagte,nämnda
keinen,Nej
durch,genom
zwei,två
diesen,detta
passiert,inträffar
wohl,förmodligen
vielleicht,kanske
ihre,henne
Mutter,Mor
reden,prata
anderen,andra
dachte,trodde
daß,den där
möchte,skulle vilja
wirst,bli
gehört,hörd
weißt,vit
Keine,Nej
raus,ut
Meine,Tror
paar,par
besser,bättre
ob,om
her,från
musst,måste
Ordnung,Beställa
meiner,mina
klar,klar
ihnen,dem
Los,Kom igen
diesem,detta
meinem,min
lange,längtar
Lass,Låta
dieses,detta
helfen,hjälp
unsere,vår
Weg,Bort
selbst,själv
Nur,Endast
finden,hitta
Mal,Bara
jemand,någon
denke,tror
Ach,Åh
Nacht,Natt
genau,Exakt
gar,även
sagt,säger
Welt,Värld
Auf,På
Mädchen,Flicka
ins,in i
hin,där
vom,från
schön,trevlig
warum,Varför
weiter,ytterligare
Leid,Sorg
gleich,även
Man,Ett
ohne,utan
Menschen,människor
deinen,din
leid,sorg
Wieso,Hurså
dort,där
Als,Som
Hause,Hem
sollten,skall
davon,av det
zusammen,tillsammans
geben,ge
Ok,OK
Hör,Lyssnande
machst,göra
Freund,Vän
richtig,korrekt
Angst,Rädsla
Bist,Är du
Tut,Göra
Mit,Med
viele,många
sieht,se sig
Haus,Hus
tot,död
sollen,skall
